Team,Date,ELO,,,
ATL,4/7/16,1577.641879,,,
ATL,4/9/16,1575.892321,,,
ATL,4/11/16,1557.367816,,,
ATL,4/13/16,1555.484187,,,
ATL,4/16/16,1571.034306,,,
ATL,4/19/16,1577.856962,,,
ATL,4/22/16,1557.589354,,,
ATL,4/24/16,1556.99348,,,
ATL,4/26/16,1582.177536,,,
ATL,4/28/16,1576.30381,,,
ATL,5/2/16,1559.591949,,,
ATL,5/4/16,1553.375036,,,
ATL,5/6/16,1559.860593,,,
ATL,5/8/16,1565.636056,,,
ATL,10/27/14,1479.246099,,,
ATL,10/29/14,1472.169648,,,
ATL,11/1/14,1483.822132,,,
ATL,11/5/14,1481.395238,,,
ATL,11/7/14,1476.004853,,,
ATL,11/8/14,1484.142716,,,
ATL,11/10/14,1491.747451,,,
ATL,11/12/14,1494.789255,,,
ATL,11/14/14,1508.694774,,,
ATL,11/15/14,1482.999588,,,
ATL,11/18/14,1475.034117,,,
ATL,11/21/14,1480.618772,,,
ATL,11/25/14,1488.975057,,,
ATL,11/26/14,1481.67254,,,
ATL,11/28/14,1490.003194,,,
ATL,11/29/14,1506.263736,,,
ATL,12/2/14,1509.446228,,,
ATL,12/3/14,1521.230459,,,
ATL,12/5/14,1537.944098,,,
ATL,12/7/14,1546.331469,,,
ATL,12/8/14,1556.855954,,,
ATL,12/10/14,1559.609745,,,
ATL,12/12/14,1562.449393,,,
ATL,12/13/14,1557.093908,,,
ATL,12/15/14,1565.767123,,,
ATL,12/17/14,1584.974986,,,
ATL,12/20/14,1594.741361,,,
ATL,12/22/14,1600.816056,,,
ATL,12/23/14,1606.821744,,,
ATL,12/26/14,1579.568829,,,
ATL,12/27/14,1583.185727,,,
ATL,12/30/14,1589.744265,,,
ATL,1/2/15,1592.697312,,,
ATL,1/3/15,1604.112533,,,
ATL,1/5/15,1615.481801,,,
ATL,1/7/15,1625.465709,,,
ATL,1/9/15,1627.674514,,,
ATL,1/11/15,1644.690217,,,
ATL,1/13/15,1646.457985,,,
ATL,1/14/15,1650.357076,,,
ATL,1/16/15,1663.390146,,,
ATL,1/17/15,1669.886536,,,
ATL,1/19/15,1673.423132,,,
ATL,1/21/15,1678.578108,,,
ATL,1/23/15,1685.196762,,,
ATL,1/25/15,1686.855635,,,
ATL,1/28/15,1689.793815,,,
ATL,1/30/15,1695.304199,,,
ATL,1/31/15,1696.018681,,,
ATL,2/2/15,1678.526577,,,
ATL,2/4/15,1683.603663,,,
ATL,2/6/15,1693.695862,,,
ATL,2/8/15,1685.417486,,,
ATL,2/9/15,1687.377812,,,
ATL,2/11/15,1681.840668,,,
ATL,2/20/15,1661.011107,,,
ATL,2/22/15,1666.895678,,,
ATL,2/25/15,1677.962409,,,
ATL,2/27/15,1679.197974,,,
ATL,2/28/15,1680.82262,,,
ATL,3/3/15,1687.769532,,,
ATL,3/6/15,1694.397314,,,
ATL,3/7/15,1682.020321,,,
ATL,3/9/15,1685.990392,,,
ATL,3/11/15,1669.164193,,,
ATL,3/13/15,1673.863947,,,
ATL,3/15/15,1675.021292,,,
ATL,3/16/15,1676.79314,,,
ATL,3/18/15,1662.874659,,,
ATL,3/20/15,1652.900854,,,
